,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4062478542327881,0.032775140114931545,0.006250429153442383,0.007655181067867465,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.9611597664543525,0.9623208598726114,0.9592555732484078,0.9728365384615387,0.9643621861784702,0.9639839678863542,0.004724244860427982,46,0.9625703616267124,0.9654876325029508,0.9654705675713022,0.9618172343550145,0.9636077053429026,0.9637907002797765,0.0014912286490317683
1,0.47187142372131347,0.06945579165389767,0.0031251907348632812,0.0062503814697265625,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.9611597664543525,0.9632430997876856,0.9632430997876859,0.9707532051282053,0.9685375515229379,0.9653836782022434,0.0036268381779566883,29,0.9696394055077275,0.9669826870025156,0.9679737016916757,0.9665229680862822,0.9673021331738437,0.967684179092409,0.0010856514088298254
2,0.737494421005249,0.16752955126408875,0.0031252384185791017,0.006250476837158203,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.9164543524416137,0.9565153927813164,0.9675291932059448,0.9413461538461539,0.9628031154649109,0.9489233048226164,0.018487990031496544,170,0.9423850447933645,0.9528196261697803,0.9666880047681916,0.935256683563093,0.9574087918660289,0.9509116302320917,0.011068220866536338
3,0.7126914501190186,0.11294361977710497,0.006250572204589844,0.0076553562641997926,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.9151738322717623,0.9320793524416134,0.9480029193205946,0.9230769230769232,0.9402200096354585,0.931707972176329,0.011715739787446848,243,0.938532532419208,0.9340348823851614,0.9297636548588438,0.9093830435675145,0.9405327950558213,0.9304493816573098,0.011172548404280684
4,0.8563916683197021,0.1463151703528853,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.929073779193206,0.8652003715498938,0.9353237791932061,0.9501602564102566,0.944837000160591,0.9248985856531508,0.030750249914813822,255,0.9542464209427499,0.8759375306960661,0.926047661937877,0.9322879656386691,0.9506217603668262,0.9278282679164377,0.028046996909137326
5,0.8312454223632812,0.04881354458007321,0.0031250953674316407,0.006250190734863281,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.9459792993630575,0.9641056263269638,0.9385084925690023,0.9576121794871798,0.9177841121995612,0.9448108940388327,0.01616398349597335,201,0.9677006627852963,0.9662397381490292,0.9303359543958432,0.9386359688600439,0.9139241925837321,0.9433673033547889,0.020853580067982273
6,1.0938567161560058,0.3079934125249059,0.003124904632568359,0.0062498092651367175,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.947020966029724,0.8811239384288747,0.9630042462845011,0.9658653846153847,0.9338097532252021,0.9381588896721379,0.030784988239486125,219,0.9561556121981793,0.8977806432064092,0.9522643915644297,0.9397808201872818,0.930410187400319,0.9352783309113238,0.02085394420526075
7,0.8938936233520508,0.12403337208518443,0.006249475479125977,0.0076540130452890116,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.8939225053078556,0.9193404989384288,0.9490445859872613,0.9552083333333334,0.9584069375301109,0.935163683315647,0.02484554082129511,234,0.9074165025380964,0.936935088329751,0.9289649328141153,0.9392281333396497,0.9570187898724084,0.9339126893788041,0.016110921339645548
8,1.0250700950622558,0.13497909649397918,0.003137016296386719,0.0062740325927734385,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.9483611995753716,0.8790406050955414,0.981190286624204,0.9576121794871796,0.9511000481772924,0.9434516149910173,0.03423779169342413,204,0.9473992211731681,0.9048280437594793,0.9761532147833918,0.9436022549623383,0.9531935307017544,0.9450352530760264,0.023061424693293687
9,1.5719833850860596,0.5268012600881916,0.009374427795410156,0.0076541882713267295,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.9400278662420384,0.9705944798301486,0.965207006369427,0.9947916666666669,0.9851654087040309,0.9711410534356907,0.01876026660327258,7,0.9517341300297845,0.9745387057622864,0.9546776226302636,0.970028581805549,0.9736181718500798,0.9649194424155926,0.009726754460147204
10,1.794064998626709,0.3254201039958074,0.009374666213989257,0.00765438315810773,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.9611000530785564,0.9225849256900212,0.9768444798301487,0.9339743589743591,0.9498353942508431,0.9488719147656713,0.019221090753154712,173,0.978446991327685,0.9420903625590403,0.9777723022007934,0.9443523299698391,0.9671251993620414,0.9619574370838799,0.015832634471000244
