k,Pen Digits BIC
2,112914.0906802963
3,100633.45852269384
4,94670.74903505073
5,79812.54524784182
6,76901.19794688524
7,64387.52859995582
8,59587.80932341245
9,53744.607672971644
10,54968.44655650766
15,43181.90448074533
20,37721.6377880374
25,32099.530813583457
30,34438.66248264587
35,31053.561405364835
40,35300.84238423609
