k,Wine Quality BIC
2,60527.59500420392
3,59121.32061006781
4,57271.02650242276
5,56876.25461654495
6,56766.321047634614
7,56675.47892229714
8,56213.37180002384
9,56290.941264822264
10,56100.675699097694
15,57404.68696743493
20,58289.39800384916
25,59381.53216119746
30,60634.29911772919
35,55351.1857077372
40,56201.03357661381
