k,Pen Digits sse (left)
2,64485.83012204576
3,51663.41303068385
4,45554.62902896525
5,40206.093607423565
6,36037.12249964763
7,33386.24757347532
8,30993.954385996105
9,29174.71349105981
10,27592.01961996303
15,22106.866819202733
20,18991.398861282847
25,16877.21072868236
30,15365.568034772921
35,14182.939132908527
40,13125.891679305689
