step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0051813471502590676,0.0006476683937823834,0.0,0.0017135695019848385,0.0051813471502590676,0.0
8,0.0,0.0005757052389176742,0.0,0.0016283403136132357,0.0051813471502590676,0.0
9,0.005050505050505051,0.0010231852200764118,0.0,0.0020465795760450317,0.0051813471502590676,0.0
10,0.0,0.0009301683818876471,0.0,0.0019733822868681916,0.0051813471502590676,0.0
11,0.0,0.0008526543500636765,0.0,0.0019067801452641892,0.0051813471502590676,0.0
12,0.0,0.0007870655539049322,0.0,0.0018460106912101225,0.0051813471502590676,0.0
13,0.0,0.0007308465857688657,0.0,0.0017903719747115337,0.0051813471502590676,0.0
14,0.0,0.0006821234800509412,0.0,0.001739244528066188,0.0051813471502590676,0.0
15,0.0,0.0006394907625477574,0.0,0.001692091615991363,0.0051813471502590676,0.0
16,0.0,0.0006018736588684775,0.0,0.0016484516306415156,0.0051813471502590676,0.0
17,0.0,0.0005684362333757844,0.0,0.0016079283433317873,0.0051813471502590676,0.0
18,0.0,0.000538518536882322,0.0,0.001570181308336265,0.0051813471502590676,0.0
19,0.0,0.0005115926100382059,0.0,0.0015349172548342908,0.0051813471502590676,0.0
20,0.006711409395973154,0.0008068219807970129,0.0,0.0019967447288308563,0.006711409395973154,0.0
21,0.0,0.0007701482543971488,0.0,0.0019580620323364963,0.006711409395973154,0.0
22,0.0,0.0007366635476842292,0.0,0.0019214520374359674,0.006711409395973154,0.0
23,0.0,0.0007059692331973863,0.0,0.0018867471372678271,0.006711409395973154,0.0
24,0.0,0.0006777304638694909,0.0,0.0018537962250000687,0.006711409395973154,0.0
25,0.0,0.0006516639075668182,0.0,0.001822463079482259,0.006711409395973154,0.0
26,0.0,0.0006275282072865657,0.0,0.001792624819370701,0.006711409395973154,0.0
27,0.0,0.0006051164855977598,0.0,0.0017641704720536744,0.006711409395973154,0.0
28,0.0,0.0005842503998874922,0.0,0.0017369996751606651,0.006711409395973154,0.0
29,0.0,0.000564775386557909,0.0,0.0017110215128121806,0.006711409395973154,0.0
30,0.0,0.0005465568257012023,0.0,0.0016861534805748372,0.006711409395973154,0.0
31,0.0,0.0005294769248980397,0.0,0.0016623205691616012,0.006711409395973154,0.0
32,0.0,0.0005134321695980991,0.0,0.0016394544554132206,0.006711409395973154,0.0
33,0.0,0.0004983312234334491,0.0,0.0016174927889336165,0.006711409395973154,0.0
34,0.0,0.00048409318847820776,0.0,0.001596378563297446,0.006711409395973154,0.0
35,0.0,0.0004706461554649242,0.0,0.0015760595616343897,0.006711409395973154,0.0
36,0.0,0.00045792598910100735,0.0,0.00155648786741131,0.006711409395973154,0.0
37,0.0,0.0004458753051772966,0.0,0.001537619432262328,0.006711409395973154,0.0
38,0.0,0.00043444260504454544,0.0,0.0015194136936955598,0.006711409395973154,0.0
39,0.0,0.0004235815399184318,0.0,0.001501833236403469,0.006711409395973154,0.0
40,0.0,0.00041325028284725055,0.0,0.0014848434917100785,0.006711409395973154,0.0
41,0.0,0.00040341099039850647,0.0,0.001468412470401695,0.006711409395973154,0.0
42,0.0,0.0003940293394590063,0.0,0.0014525105248130712,0.006711409395973154,0.0
43,0.0,0.0003850741271985744,0.0,0.0014371101365854354,0.006711409395973154,0.0
44,0.006944444444444444,0.0005308379120262603,0.0,0.0017187966351233377,0.006944444444444444,0.0
45,0.0,0.0005192979574169938,0.0,0.00170177303527082,0.006944444444444444,0.0
46,0.0,0.0005082490647059939,0.0,0.0016852386662567723,0.006944444444444444,0.0
47,0.0,0.0004976605425246191,0.0,0.001669170924009904,0.006944444444444444,0.0
48,0.0,0.00048750420492207593,0.0,0.0016535486091482426,0.006944444444444444,0.0
49,0.006711409395973154,0.0006119823087430974,0.0,0.0018543957670822966,0.006944444444444444,0.0
50,0.0,0.0005999826556304877,0.0,0.0018380849039439334,0.006944444444444444,0.0
51,0.007518796992481203,0.0007330367774930016,0.0,0.0020534013849507916,0.007518796992481203,0.0
52,0.0,0.000719205894898794,0.0,0.0020363812764029442,0.007518796992481203,0.0
53,0.0,0.000705887267215483,0.0,0.002019766486028783,0.007518796992481203,0.0
54,0.0,0.0006930529532661106,0.0,0.002003541758494917,0.007518796992481203,0.0
55,0.0,0.0006806770076720729,0.0,0.0019876925872648935,0.007518796992481203,0.0
56,0.0,0.0006687353057830891,0.0,0.001972205172189653,0.007518796992481203,0.0
57,0.0,0.0006572053867178635,0.0,0.001957066379481039,0.007518796992481203,0.0
58,0.0,0.0006460663123667133,0.0,0.0019422637039925978,0.007518796992481203,0.0
59,0.003861003861003861,0.000699648604843999,0.0,0.001969494305537107,0.007518796992481203,0.0
