iterations,fitness,time,fevals
0,0.0204129850922,1.41559994518e-05,11
10,0.0210705954799,2.68059993687e-05,21
20,0.0208599000617,3.91539997509e-05,31
30,0.0198615117547,5.18039996678e-05,41
40,0.0199633585445,7.61999999668e-05,51
50,0.0198774682814,9.27639994188e-05,61
60,0.0196278501137,0.000116556999274,71
70,0.019524838266,0.000150589999976,81
80,0.0198693305799,0.000171370998942,91
90,0.0211301245354,0.000186730998394,101
100,0.0208746715553,0.000202694000109,111
110,0.0201226664422,0.000218657000005,121
120,0.0193601730539,0.00024244999986,131
130,0.0206838608722,0.000259013999312,141
140,0.0195865912844,0.000273169000138,151
150,0.0187203004652,0.000286421000055,161
160,0.0188183479855,0.000299973999063,171
170,0.0201648967759,0.000323465998008,181
180,0.0207293692725,0.00033942799746,191
190,0.021868515966,0.000354486996002,201
200,0.0210471790053,0.000369244995454,211
210,0.020122713746,0.000394242995753,221
220,0.0194361374705,0.00041231299474,231
230,0.0202983396245,0.000429178993727,241
240,0.0202165299064,0.000445141993623,251
250,0.0180481084885,0.000461104995338,261
260,0.0187096248032,0.000484897995193,271
270,0.0180772342225,0.000501161995999,281
280,0.0195725106041,0.00051591999727,291
290,0.019470775304,0.000530375997187,301
300,0.0186869539594,0.000554771997486,311
310,0.0197467405433,0.000574347997826,321
320,0.0217824550646,0.000589707997278,331
330,0.0204784234376,0.00060476699764,341
340,0.0201462560885,0.000630969996564,351
350,0.0190546822149,0.000654762996419,361
360,0.0193932304616,0.000671327996315,371
370,0.0188722777875,0.000687590996677,381
380,0.0187369588431,0.000703552996129,391
390,0.0192688148694,0.000727947995983,401
400,0.020226780281,0.00074451299588,411
410,0.0187014216841,0.000760474995332,421
420,0.0192570930126,0.000776437995228,431
430,0.0193088497558,0.000803242995971,441
440,0.0203489436188,0.000830950995805,451
450,0.0209365360149,0.000857755996549,461
460,0.0198491148813,0.000896908995855,471
470,0.0210554997387,0.000922508996155,481
480,0.0190845980068,0.000947807995544,491
490,0.0199963757032,0.000971901996309,501
500,0.0197201913586,0.000996899996608,511
510,0.0204066614391,0.00102039199555,521
520,0.0203954122671,0.0010471969963,531
530,0.0205255312559,0.00107430299613,541
540,0.0199302325849,0.00109809599599,551
550,0.0197993722084,0.00113785099529,561
560,0.0199195697301,0.0011637519965,571
570,0.0199805616619,0.00118664199545,581
580,0.0206665357229,0.00120862799668,591
590,0.0207087936165,0.00122940899746,601
600,0.0216498708239,0.00125500899776,611
610,0.0220624274758,0.00127729699852,621
620,0.0223070892581,0.00129868099975,631
630,0.0223862428278,0.00132157000007,641
640,0.0228370915396,0.00134867599991,651
650,0.023066204947,0.0013745769993,661
660,0.0235360793319,0.00140108099913,671
670,0.023537078547,0.00143059599759,681
680,0.0245572094217,0.00145348499791,691
690,0.0261639607286,0.00147577199823,701
700,0.0262691792318,0.00150227599806,711
710,0.0262691792318,0.00152456399883,721
720,0.0265458909366,0.00154715299868,731
730,0.0266295105319,0.00158781199752,741
740,0.0274220432505,0.00161311099873,751
750,0.0276144039454,0.00163569899814,761
760,0.0276144039454,0.00165919099709,771
770,0.0277119343661,0.00168629699692,781
780,0.027860988369,0.00171129499722,791
790,0.0280972251027,0.00173538899799,801
800,0.0283961249968,0.00176249499782,811
810,0.0285848507837,0.00178779399903,821
820,0.0288015462033,0.00181248999797,831
830,0.0289439096694,0.00184019799781,841
840,0.0293481865433,0.00186639999811,851
850,0.0295098343414,0.0018944099993,861
860,0.0295707877024,0.00192603399955,871
870,0.0296796705572,0.0019540430003,881
880,0.0296796705572,0.00198175100195,891
890,0.0296796705572,0.00201186900267,901
900,0.0297719219869,0.0020386740016,911
910,0.0298022576282,0.00206487600008,921
920,0.0308805380874,0.00210824500027,931
930,0.0308805380874,0.00213444700057,941
940,0.0308805380874,0.00215854100134,951
950,0.0308805380874,0.00218534500164,961
960,0.0316022421441,0.00221184900147,971
970,0.0316253160065,0.00223654500223,981
980,0.0317070247841,0.00226636200205,991
990,0.0318430361206,0.00229196300097,1001
1000,0.0318430361206,0.00231726200036,1011
1010,0.0321718173176,0.00234647599973,1021
1020,0.0321718173176,0.0023750879991,1031
1030,0.0322958247851,0.00240189299984,1041
1040,0.0326266675524,0.00242990199877,1051
1050,0.0326273303739,0.00245459899998,1061
1060,0.0326273303739,0.00247809100074,1071
1070,0.032994916067,0.00250519700239,1081
1080,0.032994916067,0.00253019500269,1091
1090,0.0350166330637,0.00254856600259,1101
1100,0.0354144132646,0.00257808100287,1111
1110,0.0354144132646,0.00260368100317,1121
1120,0.0358655794263,0.00262265600213,1131
1130,0.0358655794263,0.0026506660015,1141
1140,0.0361135156889,0.00267024300229,1151
1150,0.0361135156889,0.00268951800172,1161
1160,0.0361135156889,0.00271813000109,1171
1170,0.0361135156889,0.00273740500052,1181
1180,0.0362032013436,0.00275788500039,1191
1190,0.0362440664335,0.00278559400067,1201
1200,0.0366971452981,0.0028036650001,1211
1210,0.0366971452981,0.00282143500044,1221
1220,0.0372685065125,0.00284914300028,1231
1230,0.03737891321,0.00286872000106,1241
1240,0.03737891321,0.00288769399958,1251
1250,0.0377383338314,0.00291510099851,1261
1260,0.0377383338314,0.00293588199929,1271
1270,0.0377383338314,0.00295606099826,1281
1280,0.0378587501394,0.00298497399854,1291
1290,0.0383900139118,0.00301569399744,1301
1300,0.0383900139118,0.00304460699772,1311
1310,0.0383900139118,0.00307020699802,1321
1320,0.0395433708856,0.0030897839988,1331
1330,0.0397745075826,0.00311688899819,1341
1340,0.0397745075826,0.00313526099853,1351
1350,0.0397745075826,0.00317712399738,1361
1360,0.0398847513925,0.00319880899769,1371
1370,0.0398847513925,0.00321718099804,1381
1380,0.0407514868201,0.00324368499787,1391
1390,0.0415712582463,0.00326024999777,1401
1400,0.0418433103283,0.00327530899813,1411
1410,0.0419548573698,0.0033039209975,1421
1420,0.0421491069635,0.00332138899648,1431
1430,0.0421491069635,0.00333704999503,1441
1440,0.0421491069635,0.00336535999486,1451
1450,0.0426865248222,0.00338342999567,1461
1460,0.0426865248222,0.00339969299603,1471
1470,0.042859455261,0.00342679899586,1481
1480,0.0429398610004,0.00344245999622,1491
1490,0.0429398610004,0.00345751899658,1501
