,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.7688108444213868,0.16811264984539998,0.006250143051147461,0.007654830650698251,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.6781682264562701,0.6822128378378378,0.6725844594594594,0.70795194429123,0.6846114908227441,0.6850984351800634,0.012127903939611377,282,0.6902811869580403,0.6920169949230219,0.6868843076458098,0.6866234751936193,0.6924450453915056,0.6896502020223995,0.002474762496878735
1,1.9219511508941651,0.19739279100800414,0.006250572204589844,0.007655356274595231,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.8474719867382913,0.8444425675675679,0.8434628378378379,0.8572991358705645,0.839036869464767,0.8463458222774435,0.006105424282551266,267,0.8585700429538619,0.8497087042810527,0.8578628771192851,0.8501101323623559,0.8481386854150255,0.8528780884263162,0.004413954739072254
2,3.140749216079712,0.6103953814253619,0.0031250953674316407,0.006250190734863282,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.9059119523249959,0.9144425675675677,0.9009290540540541,0.9198205092847951,0.9024037350789372,0.9087028594584801,0.007271142319392465,246,0.9094924801414671,0.9189946811302578,0.9141536516358932,0.9192266428351065,0.9238978392240369,0.9171530589933523,0.004916590185201295
3,1.9907052040100097,0.304843962198959,0.009375762939453126,0.007655278431669877,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.94500230820883,0.9335979729729731,0.9367736486486488,0.9406220123184409,0.9306327814144526,0.9373321027022155,0.00507503488341648,228,0.9505996677815368,0.9431955226130851,0.9408042923443964,0.9411480399823046,0.9393318577123316,0.9430158760867309,0.003987432133338608
4,1.7563214778900147,0.27771231045838474,0.006250333786010742,0.00765506424927351,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.9683443847574283,0.9594594594594597,0.9539020270270271,0.966188637617209,0.9493262257733281,0.9594525975405117,0.0071782363986800345,208,0.9689527065554685,0.9580112919118152,0.9656686083546061,0.9662378601261934,0.9675998792841343,0.9652940692464436,0.003815029576895123
5,2.450103425979614,0.6269429004175741,0.003124904632568359,0.006249809265136718,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.9769151838173578,0.9787668918918918,0.9764864864864865,0.9764051296194153,0.9732407585675779,0.9763654573884057,0.0017789733847005554,151,0.9770261993430945,0.9787672779580893,0.9850019906715943,0.9807601514601325,0.9857802121789563,0.9814671663223734,0.0034237056721308137
6,1.9063268661499024,0.5568634991654275,0.003125,0.006250000000000001,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.9853442378714119,0.9869425675675677,0.9775337837837839,0.9786379619415334,0.9714249614940316,0.979985114670746,0.005623149698271321,127,0.9827946463512257,0.9905332857413929,0.985794335819328,0.9880764713729144,0.9807674206165669,0.9855932319802856,0.003513732734263916
7,1.8063257694244386,0.18870335334247018,0.0,0.0,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.9910589432600303,0.9780405405405406,0.9797635135135135,0.9856649889685604,0.977615758567578,0.9824339043964805,0.005187982987604515,111,0.9854386751815681,0.987292137593359,0.9882805637464627,0.989847527843346,0.9892667605935956,0.9880251329916664,0.0015591698576585323
8,1.587574338912964,0.44925721290473536,0.0031250476837158202,0.006250095367431641,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.9871178865200606,0.9800675675675676,0.9815371621621621,0.9876966124287553,0.9794354864587344,0.9831737056070758,0.003529918901011537,97,0.9835503913911452,0.9879417414512497,0.9887239778463794,0.9939601420019064,0.9905157014364675,0.9889383908254297,0.0033992856439736398
9,2.000066566467285,0.5451388377019512,0.009375238418579101,0.007654850123558117,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.992301179284875,0.9794932432432433,0.9868412162162163,0.9903071566464423,0.9847197086381722,0.9867345887702144,0.004479830532229427,52,0.9954796722730292,0.9866264802430857,0.9956631358401866,0.9935559211678779,0.9925576839329232,0.9927765786914206,0.00328992181120297
10,1.8813229560852052,0.28990785125175345,0.006250143051147461,0.007654830647727922,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.9922466216216217,0.9857939189189191,0.9841385135135136,0.9903624287552858,0.9859105057117186,0.9876922754969966,0.0030764153154517,43,0.9943339010644064,0.9906645734478234,0.9966012094155687,0.9943249477093965,0.9931565727567708,0.9938162408787932,0.0019313712271207375
