,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.46248698234558105,0.0887164034905223,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.9837827988338191,0.9600036443148688,0.9778152332361517,0.9785355839416059,0.9814375961506989,0.97631222973784,0.008431159382246919,152,0.9747046766825992,0.9825921217233271,0.9781344612463275,0.9790713588881398,0.9743159129081819,0.9777637062897151,0.0030465046034601094
1,0.47818965911865235,0.1902826063578549,0.0,0.0,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.9681122448979591,0.9518039358600584,0.9792729591836735,0.9748435870698645,0.9850872311871952,0.9718174937126498,0.011446688576800094,194,0.9662434955523228,0.9753411651569421,0.9770403693426076,0.9773835685350419,0.9768566741315556,0.974573054543694,0.0042231054104647486
2,0.3937699794769287,0.09603916244998531,0.0,0.0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.9822339650145772,0.9614158163265306,0.9815506559766765,0.9659150156412929,0.9724166148407581,0.9727080346277827,0.00828075710475947,189,0.9775990285604846,0.9770287560765905,0.983139167675187,0.9684213956500751,0.9657071490417165,0.9743790994008108,0.0064003808867391715
3,0.49693951606750486,0.08172789092534502,0.0,0.0,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.985194970845481,0.9747631195335279,0.9785896501457727,0.9799954379562044,0.9880593106608623,0.9813178251725981,0.0047456957060662015,92,0.9834922517104099,0.9848035320628012,0.9847803055307669,0.9799473316537576,0.9816519566038227,0.9829350755123116,0.001885707109572035
4,0.4156442165374756,0.06298809531250915,0.0031250476837158202,0.0062500953674316405,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.9739887026239067,0.9747631195335279,0.9844661078717201,0.9807253649635036,0.99030146312723,0.9808448211123554,0.006106978153329534,107,0.9738126963558794,0.9859092372325382,0.984791918796784,0.9829229099159463,0.9807181673480548,0.9816309859298405,0.00428772405851392
5,0.39064459800720214,0.13296656644861893,0.009375238418579101,0.007654850194845838,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.9747631195335276,0.9769497084548106,0.9755830903790088,0.974028936392075,0.9806029262544597,0.9763842194708008,0.0023197812570427035,149,0.9654211948217059,0.9894319279244037,0.9797523725698731,0.9745312089483236,0.9742040209494297,0.9766681450427473,0.007868403975173736
6,0.40938339233398435,0.04123410817054989,0.0,0.0,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.9859238338192419,0.9732598396501458,0.9800473760932946,0.97922314911366,0.99030146312723,0.9817479274611575,0.0058627756856065635,81,0.98349225171041,0.9862855477997955,0.9829103659604986,0.979765049480954,0.980889260324983,0.9826684950553283,0.0022545873035585686
7,0.5750321865081787,0.13201628586039485,0.0,0.0,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.9888848396501457,0.9791818513119533,0.9874271137026238,0.9866495046923879,0.997027920526333,0.9878304626892873,0.005691750533665081,32,0.992395959398392,0.992760656699632,0.9925666947829949,0.9853280162607918,0.9853423568433936,0.9896787367970408,0.0035483740097923618
8,0.3687880039215088,0.03645070770455151,0.0,0.0,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.9843749999999999,0.9814139941690962,0.986698250728863,0.9836874348279457,0.981332853261759,0.9835024195903724,0.002004013959859685,74,0.9843807684314756,0.9905376330941409,0.9907083684787436,0.9853280162607918,0.9754911853549294,0.9852891943240163,0.005545111045711012
9,0.4812469005584717,0.1088821095429123,0.0,0.0,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.9881104227405247,0.9866071428571429,0.9851949708454811,0.9911137904066736,0.9932735426008968,0.988857536908851,0.002953266959403513,16,0.9873564131714812,0.9933077026514919,0.9916317249978606,0.990514605995556,0.9894196998203219,0.9904460293273422,0.0020099169855592393
10,0.3749974727630615,0.024205838136663795,0.0,0.0,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.9903425655976675,0.985878279883382,0.987427113702624,0.9873794316996871,0.9947857680599653,0.9891605506203226,0.003160715840625998,13,0.9886560802578552,0.993501664568129,0.9921903842157378,0.9879272174779072,0.9892486068433936,0.9903047906726046,0.002156946467704966
