,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.609446907043457,0.27369825322987407,0.006249761581420899,0.007654363444636746,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.4568934656706397,0.46511824324324325,0.5074831081081081,0.49700829656186796,0.48963347131305357,0.4832118937160885,0.0191970654072771,365,0.4785461628715768,0.4798246169443909,0.4922891559844653,0.4877121518391277,0.4887986752449588,0.48543415257690387,0.005336884059699091
1,2.059456729888916,0.5881041000165205,0.006271982192993164,0.0076816573400875394,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.6939226959879136,0.6781418918918919,0.6929560810810811,0.7022101948887662,0.6844739924271596,0.6903433922165229,0.008291591173116451,349,0.7066796436203473,0.7013898364625939,0.6871550889532537,0.7092641810078877,0.6889871589633101,0.6986951818014786,0.00905688675955232
2,1.9407549858093263,0.7040029453195256,0.0031250953674316407,0.006250190734863282,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.8112870362598624,0.7808445945945945,0.8075168918918919,0.7925956058098914,0.7904400109100244,0.7965464410675185,0.011293317062991807,328,0.824186667520466,0.8046636655877576,0.8140415774586095,0.7966827381184307,0.7852336845034373,0.8049616666377404,0.013489760417448092
3,2.156346893310547,0.41283229824009904,0.00937509536743164,0.007654733315359543,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.8526972469363774,0.8471621621621622,0.8613682432432433,0.838311500275786,0.8392162431010141,0.8477614743230223,0.008626810454045371,308,0.8456887653875733,0.873214665209432,0.8635159222456091,0.8625895304256382,0.8595742605479361,0.8609166287632378,0.00888241411357113
4,2.9563809394836427,0.4504501785333718,0.006250238418579102,0.007654947448500716,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.9308313748531141,0.9167736486486487,0.9136655405405406,0.9185123644052215,0.9108954242074189,0.9181445189191922,0.0068668678094121844,283,0.9355320356829862,0.9340580362355214,0.9250610117251373,0.9318207346273941,0.9373372064547144,0.9327618049451507,0.0042538576006507026
5,3.5032894134521486,1.063160698364592,0.0062500953674316405,0.007654772260336814,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.9317045073023336,0.956554054054054,0.9577027027027029,0.9579607924250779,0.9622458606083942,0.9532197302558683,0.01094339461414037,247,0.9461207519489108,0.9606999608884118,0.9713789384816277,0.9680064200803,0.9720956341211873,0.9636603411040875,0.009654225551354563
6,2.953243780136108,0.31079094259892753,0.006249809265136718,0.007654421844651832,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.9671854540876281,0.9716891891891892,0.9598817567567569,0.965264179996323,0.9550973880118084,0.96383089797301,0.005775374032522503,232,0.9675400740146184,0.9766233464738073,0.9738496934230868,0.9752501439697374,0.9734584629037858,0.9733443441570071,0.003109401292040089
7,2.3344934940338136,0.5526815733690641,0.00937495231628418,0.007654616514586773,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.9754118054389794,0.9630912162162162,0.9700337837837838,0.9711932340503768,0.9602393787703761,0.9680010274226856,0.00554137820221085,212,0.9834587724012491,0.9660569945626706,0.9840516014709999,0.9741326867243801,0.9735235558756965,0.9762447222069992,0.00676232384148107
8,2.2125876903533936,0.4675841563016239,0.003125,0.006250000000000001,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.9836733045156959,0.9678378378378378,0.9785641891891893,0.9729576898326897,0.9651801758439225,0.9736520241606549,0.006791824351801234,204,0.9871329828422531,0.9747896347777635,0.9833851237338289,0.9853672401505996,0.9801054507667685,0.9821560864542427,0.004360304011829387
9,2.02508807182312,0.23814038702355392,0.0031249523162841797,0.006249904632568359,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.9810212774886687,0.9852195945945947,0.9836655405405406,0.9824847168597168,0.9805749422410474,0.982594407840349,0.0017089547109216143,133,0.9875189607855868,0.9895035078831746,0.9917432872594415,0.9870096639406317,0.9851013960300489,0.9881753631797767,0.0022686138255887983
10,1.7438679218292237,0.267521697627766,0.0,0.0,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.9838330955178782,0.983293918918919,0.9816385135135136,0.9851551296194153,0.9759827846232833,0.9819850221213012,0.0032005005613958202,143,0.9850625486436692,0.9906132835184516,0.9872023155552448,0.9916034342124086,0.9883811971270866,0.9885725558113723,0.002348834616536489
