,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.31874737739562986,0.06817862020103099,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.6911898688046647,0.7348760932944607,0.7476311953352771,0.7835570907194995,0.7019541095217832,0.7318434440675414,0.03309847767905427,360,0.7430619903915504,0.7319700988961285,0.7296541691625001,0.7520834139516128,0.7330221244987238,0.7379583593801031,0.008423176001335173
1,0.5218989849090576,0.030584866377434135,0.0,0.0,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.842201166180758,0.8294916180758019,0.8267128279883382,0.842798488008342,0.8511341690943014,0.8384611300374019,0.009075010288598355,326,0.8416032011865905,0.8477600658492558,0.8529587341947524,0.8356393216251831,0.8412777980313525,0.8438478241774268,0.005955454594827977
2,0.6875231742858887,0.24943516442516855,0.006250143051147461,0.007654830647727922,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.9288447521865888,0.9087099125364433,0.9236060495626823,0.9147875391032325,0.9204314097738208,0.9192764115063707,0.0069795318814108425,309,0.9281652262141975,0.9348923633607569,0.9282000660122489,0.9131681048967711,0.9154918689130775,0.9239835258794104,0.008286737990811692
3,0.512534761428833,0.09950034549004674,0.006249856948852539,0.00765448024540954,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.9327168367346939,0.9058400145772595,0.9520317055393587,0.9333322471324296,0.9315898006611893,0.9311014159618279,0.014729218306825848,287,0.9319747849508372,0.9314393522649943,0.9342558748864142,0.9254940457884672,0.9324376009062026,0.9311203317593831,0.002968291996167031
4,0.8563079833984375,0.11792417783409441,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.7541454081632653,0.7340561224489797,0.7490433673469389,0.7421826120959334,0.7618637687800726,0.748253607563309,0.00957970791283096,352,0.778323737108256,0.7530447131115809,0.7565790170694636,0.7586490345154859,0.7474079719155252,0.7588008947440623,0.01047886915148935
5,0.40002193450927737,0.02899847533757842,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.9681122448979591,0.9547193877551021,0.9844661078717201,0.9754887904066735,0.9731465418480574,0.9711848063240055,0.009793913479862384,245,0.9760357199613705,0.9749416280576506,0.969548997795517,0.9758662476552811,0.9710492780323942,0.9734883743004425,0.0026729412991349523
6,0.6406408309936523,0.0988267070246346,0.003125,0.006250000000000001,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.9800473760932945,0.9666089650145773,0.9770408163265306,0.9785355839416059,0.9821151517135283,0.9768669049536198,0.005398741482276643,220,0.9783051966309304,0.9810984927203158,0.9757058624581819,0.9775422253089123,0.9805358851752513,0.9786375324587183,0.001978125491086074
7,0.6500319480895996,0.06141342506034443,0.0,0.0,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.9830083819241981,0.9658345481049563,0.9815051020408163,0.9747588633993742,0.9858171581944943,0.9781822070935353,0.007167124772324022,215,0.9819870094413816,0.9860799726171412,0.9860799726171412,0.9790241080902734,0.9825633674678402,0.9831468860467556,0.0026791453640607667
8,0.4750257968902588,0.08421664004093403,0.0,0.0,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.9888848396501457,0.9748086734693878,0.985194970845481,0.9859195776850886,0.994055841052666,0.9857691049482579,0.006306207805136758,127,0.9860915858831584,0.9864678964504154,0.9901729357929008,0.9868453371405528,0.9860938639263579,0.9871343238386772,0.0015447110187275647
9,0.618782901763916,0.16226322206178764,0.0,0.0,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.9881559766763848,0.9687955539358601,0.9800473760932946,0.9859195776850886,0.9940558410526662,0.9833896206055877,0.008567723099414911,167,0.9892263527417494,0.9873796397035154,0.9881206475720123,0.9796063927070837,0.9862873352950368,0.9861240736038794,0.0033968723362028112
10,0.45000762939453126,0.09238476671109652,0.0,0.0,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.9896137026239067,0.9903425655976676,0.985923833819242,0.9874217935349321,0.9925436155935975,0.9891680022299061,0.0023037356188403057,55,0.993319315917509,0.9918256869144978,0.9885085714052867,0.984452043495174,0.9884970997604291,0.9893205434985793,0.0030758925516361805
