,0,1,2,3,4,5,6,7,8,9
2,0.9126995462661548,0.9311735571418474,0.895535348006506,0.8482617507301063,0.8458633724816014,0.8635929219071118,0.8837466300388968,0.8977982522872262,0.8498457210365421,0.8722699084559661
3,0.7965041460942244,0.7956337772563763,0.8222764488485309,0.808607116501492,0.82486177348768,0.8264851711441085,0.8517132497568695,0.8183438937927737,0.7581719335584938,0.7500687296115673
4,0.7458553181659956,0.8244340110954445,0.7448383015146242,0.6900150905816015,0.7219860691970691,0.7589078500990334,0.8444945563476733,0.7811856129347606,0.7332934262794935,0.7378361685098839
5,0.6568595508115866,0.7067052671896696,0.6990435727752047,0.7021150449322806,0.7181212510362464,0.7252793629077737,0.5905953965553185,0.6950255800227559,0.7285777078014486,0.7031944481884588
6,0.5182354176621928,0.6036638290377261,0.5588894603075137,0.6757953020863744,0.6731731372194515,0.6830187552387392,0.5391048234114822,0.6624647860416545,0.6417758196912484,0.6115901506496977
7,0.6353807771112798,0.6380266100777844,0.487913862780454,0.5300355179505797,0.49786304658930275,0.4949969455328792,0.505121017547532,0.5908052524626091,0.5307074999514215,0.5677780695627197
8,0.5360406130108067,0.5676317350981527,0.4972985337484239,0.6331988555705749,0.4755546125841328,0.5378729960306431,0.5032877278687917,0.5188690676036424,0.5224346436209906,0.44184980504931576
9,0.3822056404049682,0.5035789055085809,0.4439389803469519,0.41580046774636686,0.4697957667976558,0.47905987925489585,0.40044965962293716,0.4403983898754431,0.3972330150678227,0.40005890469055266
10,0.32635733349637275,0.40208332362763094,0.3598550710678665,0.3318333099503872,0.397892635823571,0.24784976302435452,0.4068720193598239,0.32600380489053415,0.3512812223808316,0.34549174259477794
15,0.12759951063046432,0.13665705789256508,0.09177879185441969,0.08278265943159188,0.07868650686069904,0.07416674422195288,0.062055243022259864,0.1986774254529169,0.07613467420565569,0.05892822677148182
20,1.9142036220904767e-30,6.765509583827005e-30,3.9178293035857084e-30,2.6491788096627842e-30,3.560859610234276e-30,2.4077403185857714e-30,2.7806084922822478e-30,1.7347899575596917e-30,1.0214359030260672e-29,1.901048306975598e-30
25,2.1077120552873042e-30,4.191102902681965e-30,2.2188200485763417e-30,2.0940055039372515e-30,8.262713812777314e-30,1.829395831368306e-30,6.19418280288816e-30,1.1398444592874438e-29,2.0375247700348303e-30,1.1793580274895152e-29
30,1.804726082340411e-30,1.543443766009974e-30,1.955290422438673e-30,6.423991859643904e-30,1.4406810613075712e-30,2.910416223018781e-30,1.4329004320882078e-30,1.7051957772152856e-29,1.2418897081326178e-30,1.9536634000620202e-30
35,1.18332191052019e-30,4.009584565616581e-30,1.3866100208783683e-30,7.820713029612901e-30,2.2583175542582912e-30,8.011569483337199e-30,1.1966657789609892e-30,5.9386972906551205e-30,2.8064034438860314e-30,7.27640616334528e-30
40,4.6881751172851646e-30,2.2219719739632618e-30,1.4814254182925674e-30,2.5081203969683688e-30,1.006362659121525e-30,5.9832205647677406e-30,1.7365515481566565e-30,4.4496168998564315e-30,1.3351061611511542e-30,5.045469082441565e-30
45,2.739242266463487e-30,9.29289908075973e-31,6.616075323131617e-30,2.838328061497143e-30,1.103450574759789e-29,8.887928045905327e-30,4.537988645374271e-30,2.1805902577856933e-30,1.4084854526516215e-30,6.243784958431261e-30
50,3.680346089410994e-30,1.351911851292535e-30,1.5453735123308028e-30,1.5418353239080916e-30,2.2008819596762155e-30,1.94215567301959e-30,7.685869804601963e-30,1.0472652626983735e-30,2.6375335189829956e-30,3.2010719383399505e-30
55,9.193042641556337e-30,1.3682192802994491e-30,1.5616308964812183e-30,1.4120627084502335e-30,1.9400783344229076e-30,1.5986175718537768e-30,1.108855225111849e-30,7.88487465973637e-31,3.612171342632912e-30,1.161951518973887e-30
60,9.403325070321475e-31,1.1320640308639721e-30,9.794583086126502e-31,1.1675521783823354e-30,1.625067837104884e-30,8.506267646162651e-30,9.26288010062414e-31,6.106645926967822e-30,9.185734797372795e-31,8.883468560307895e-30
