,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.884553813934326,0.21890372891725046,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.6093730065469197,0.6088513513513514,0.5952195945945946,0.611995426548998,0.60278743101014,0.6056469090270367,0.006023896406881657,352,0.6127792176909767,0.6147678146513404,0.6153520302966095,0.5992753509993239,0.6078296957471658,0.6100008218770833,0.00598044562184729
1,5.284605932235718,0.292239431586652,0.003124856948852539,0.006249713897705078,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.771823484975659,0.7982263513513514,0.7992736486486487,0.7797069773855488,0.7822209119496855,0.7862513678167738,0.010777954079325469,301,0.7847818853803176,0.7991614747720472,0.803252749574087,0.7633699966293022,0.787397012191024,0.7875926237093556,0.013955300308411397
2,6.390947580337524,0.4697420138939977,0.00625,0.007654655446197432,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.8186872586872587,0.7880405405405406,0.822668918918919,0.8498206241956241,0.8257941855987678,0.820990475849324,0.019740461432437177,271,0.8165214148862604,0.7968867610652055,0.8312494690577957,0.8276055813767428,0.8342166599666456,0.82129597727053,0.013597304334238926
3,5.869007539749146,0.7854125338495966,0.006250572204589844,0.0076553562641997926,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.8434742739634045,0.8743243243243244,0.8615709459459462,0.8731606223570509,0.8698916217430368,0.8644724241755587,0.011420347070072903,223,0.8445385805685587,0.8719670757325293,0.8793592705925574,0.8703106777708229,0.8669746819086304,0.8666300573146197,0.011766186418236829
4,5.062730741500855,1.5084722898179688,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.8596761163337252,0.7792060810810811,0.8918074324324325,0.8041403520867806,0.886140338210756,0.8441757892542479,0.04492925609016954,241,0.8591345003513822,0.7778436550299408,0.9022779710493106,0.8074659519274411,0.8917553678935811,0.8476954892503311,0.04806051522306125
5,5.103369235992432,1.8686439459357733,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.8429182054725534,0.8471621621621622,0.9114864864864867,0.8520058834344549,0.8658479335130278,0.8638802405106282,0.02503174621722318,224,0.8307477343814481,0.8448547713845415,0.9211830335457905,0.8531809328273253,0.871108231048099,0.8642149406374408,0.031335285027380186
6,3.6532756328582763,1.8611568767106588,0.0062500953674316405,0.007654772248455406,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.9233573946617427,0.8150000000000003,0.8271621621621623,0.8482527808420665,0.7992172057502245,0.8426512610935898,0.0434610309508614,243,0.9154468711622792,0.817791523188591,0.8303011045052514,0.8460021475516143,0.8095375871961412,0.8438158467207755,0.03787003121826092
7,3.8720519065856935,0.8868780986559082,0.012500715255737305,0.006250357663109556,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.8533106009736445,0.8579054054054055,0.8903547297297298,0.8951307685236257,0.8584624085483249,0.8710317145193573,0.01788156859500161,220,0.8474392498382949,0.8620465929569895,0.8934816239149735,0.8977805672945501,0.8616811079966522,0.872485828400292,0.019665695829676835
8,3.4157960414886475,0.6696266304482592,0.0,0.0,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.8660301955682392,0.8580236486486488,0.8566554054054054,0.8679840044125757,0.8161449107945065,0.8529958404932132,0.018906255205928358,236,0.8690333225501834,0.8716361909042598,0.8607270893022139,0.8532583465733473,0.8337938194352442,0.8576897537530497,0.013587185992834327
9,4.331456565856934,0.46422928309465655,0.0031251430511474608,0.0062502861022949215,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.9120464369649153,0.900506756756757,0.9066047297297298,0.9006682064717778,0.9241286420228467,0.9087819513134561,0.008769722310510453,125,0.92039613357682,0.9168373966930486,0.9058989682056436,0.8966241941593075,0.9324021704514428,0.9144317726172526,0.01228181117613989
10,4.687707710266113,0.9653744890876202,0.0031251907348632812,0.0062503814697265625,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.9061835865368475,0.9259628378378378,0.9114020270270271,0.9403994300422871,0.920094419843409,0.9208001229239066,0.011946417943752353,107,0.9064066239053427,0.9330773265740394,0.9116758135655065,0.9403317065615885,0.9291950680050799,0.9241373077223114,0.012941633707922512
