iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.120413535896,0.120421144988,0.120380796397,0.759172928207,0.759157710024,0.759238407206,2.829440412
10,0.0765735032623,0.0785879065653,0.0829026296003,0.83590193605,0.832638736565,0.824444671921,32.944292082
20,0.0741559966541,0.0829269622131,0.0883495235025,0.827071792903,0.812678218908,0.799570068584,63.504806191
30,0.0622776765185,0.0796295128639,0.0808654532272,0.844457851149,0.809607370037,0.807247415293,94.121933258
40,0.0559902040248,0.0763105729137,0.0787439650153,0.853068611858,0.814432989691,0.806940321425,125.184447188
50,0.0513192829965,0.074333625547,0.0768301316307,0.860911534032,0.816845799517,0.806633227557,155.871679064
60,0.0482375756372,0.0734587672217,0.0748628273794,0.8681511545,0.814871682386,0.809294707749,186.592289249
70,0.0458993906195,0.0726648940689,0.0741682782967,0.872209729611,0.814652336039,0.810625447845,216.996885821
80,0.0438624910113,0.0722486777574,0.0735895486221,0.87659737838,0.819039262996,0.812058552564,248.112803661
90,0.0422034895667,0.0719068904612,0.0731427312521,0.881368946416,0.816187760474,0.812570375678,279.122791913
100,0.0406294393604,0.0712307649786,0.0720506515776,0.886030823233,0.817503838561,0.815334220493,310.063864105
110,0.0394589230584,0.0712717763577,0.0720751014646,0.888937640542,0.815091028734,0.815846043607,340.966643973
120,0.0384818348988,0.0710116931656,0.0718801785422,0.890857236878,0.817065145865,0.816869689835,372.541133326
130,0.0377164054379,0.0702855064936,0.0716238719767,0.892831678824,0.819039262996,0.817176783704,405.763682495
140,0.0368415990448,0.0700962107868,0.0713518302858,0.895573959305,0.817942531257,0.817483877572,439.026102156
150,0.0359902528071,0.070043051194,0.0710945561045,0.897438710031,0.817942531257,0.818814617668,472.209060622
160,0.0352489412854,0.0701199839714,0.0710379567001,0.900180990512,0.819916648388,0.819224076159,505.363166576
170,0.0346724161778,0.0700095018218,0.0705244322424,0.901552130752,0.820135994736,0.819121711536,544.253457513
180,0.0342142577246,0.0698938330414,0.0701839643614,0.902484506115,0.819477955692,0.820759545501,588.856631926
190,0.0337883917809,0.0698442394797,0.0700047151985,0.904458948061,0.821232726475,0.821271368615,633.333108751
200,0.0333258757986,0.0697726469403,0.0698222937489,0.905830088301,0.820355341084,0.820861910124,674.537897473
210,0.0328848661922,0.0697467403742,0.0700285691997,0.907256074151,0.821452072823,0.820042993142,715.985326018
220,0.0324343320612,0.0694289375123,0.0695758517321,0.90742061098,0.822987497258,0.820452451633,758.025147121
230,0.0321005116084,0.069376222411,0.0693835437216,0.90884659683,0.824303575345,0.822090285597,800.499191331
240,0.0317745732119,0.0693547072635,0.0694229664657,0.909669280974,0.824522921693,0.821476097861,843.872152811
250,0.0315001662253,0.0692387711834,0.0693902269725,0.909340207316,0.823645536302,0.822397379466,888.997981202
260,0.0312410583155,0.0689932859138,0.0692754386314,0.910491965118,0.824084228998,0.821783191729,931.973321984
270,0.0309367153998,0.0692418569489,0.0695627335578,0.910766193166,0.821671419171,0.821066639369,975.46799355
280,0.0307406896852,0.0691009407332,0.0693162547489,0.91164372292,0.822329458215,0.821169003992,1019.01172333
290,0.0304956518454,0.0690951247416,0.0692844640524,0.912082487797,0.821671419171,0.820964274747,1062.87872119
300,0.0302704640909,0.0690787566536,0.0693260550392,0.912082487797,0.822987497258,0.821885556352,1106.62661686
310,0.0300732030903,0.069123048911,0.0693695486141,0.913727856085,0.82276815091,0.821578462483,1150.25514682
320,0.0298584518183,0.0691009197279,0.069454753016,0.914605385839,0.821452072823,0.819531170028,1193.30186037
330,0.0297363348133,0.0687208792607,0.069123568284,0.914769922668,0.823426189954,0.821373733238,1237.20922416
340,0.0295069486548,0.0688410265944,0.069376352345,0.916141062908,0.822329458215,0.821066639369,1280.08219919
350,0.0293613469596,0.0687262476308,0.0693627815626,0.916250754127,0.82386488265,0.821169003992,1323.74426707
360,0.0292215660731,0.0687629204552,0.0693839258842,0.916250754127,0.823426189954,0.82035008701,1367.30177633
370,0.0290263057696,0.068987654756,0.0696454348491,0.917676739977,0.823206843606,0.81963353465,1410.69218292
380,0.0289125936854,0.0688608986259,0.0693575304245,0.917347666319,0.823426189954,0.821271368615,1454.09554286
390,0.0287755080969,0.0690227150662,0.0693732292563,0.917512203148,0.822329458215,0.821066639369,1497.61355177
400,0.0286398782941,0.0690683731997,0.06952767517,0.918334887292,0.822548804562,0.820657180878,1540.55781283
410,0.0285280380094,0.0689476999834,0.0693805179123,0.917731585587,0.822329458215,0.821680827106,1583.19817214
420,0.028430551086,0.0689662848298,0.0695183722774,0.918389732902,0.822329458215,0.820964274747,1627.2499006
430,0.0283205810443,0.0690527108072,0.0695667410453,0.91860911534,0.821452072823,0.820554816256,1671.05904405
440,0.0282312349899,0.0689681681508,0.0694425671279,0.917731585587,0.820794033779,0.821987920975,1715.67484322
450,0.0280922640352,0.0690424354194,0.0695806348635,0.919047880217,0.822110111867,0.820759545501,1759.23210823
460,0.0279979764826,0.0690865011667,0.0696880151681,0.919376953875,0.821452072823,0.820145357764,1803.11916753
470,0.0279068223039,0.069118750114,0.0697156525895,0.919870564361,0.822329458215,0.82035008701,1846.81542027
480,0.0278231090217,0.0689731732737,0.0696512531094,0.919980255581,0.822110111867,0.820554816256,1890.05888743
490,0.0276767707652,0.0691107819698,0.069837682606,0.920583557286,0.821232726475,0.819838263896,1932.98879045
500,0.0275989915892,0.0689241214679,0.0696838827693,0.920912630944,0.822110111867,0.820247722387,1976.46772097
510,0.0274990469161,0.0689119934603,0.0696652157146,0.920857785334,0.822987497258,0.819735899273,2020.49354966
520,0.0273770744726,0.0689672131353,0.0696964160844,0.921296550211,0.822548804562,0.820759545501,2065.36117337
530,0.0272904486386,0.0690312685988,0.0697192900407,0.921735315088,0.822548804562,0.820042993142,2107.9993142
540,0.0272157004334,0.0689396907566,0.0696880784938,0.921845006307,0.823426189954,0.82035008701,2150.87798962
550,0.027119425494,0.0689198602674,0.0697418440701,0.922667690451,0.822987497258,0.820657180878,2194.20451434
560,0.0270469778642,0.068659700261,0.0696901823671,0.922448308013,0.823206843606,0.821066639369,2237.73665721
570,0.0269750430381,0.0685836126452,0.0697084835329,0.922612844842,0.824303575345,0.820759545501,2281.93147666
580,0.0269085365658,0.0685425465429,0.0697543423668,0.923051609719,0.824084228998,0.82035008701,2325.23554105
590,0.0268456412241,0.0685438422366,0.0697732382606,0.923325837767,0.824084228998,0.820861910124,2369.42653313
600,0.0267911837825,0.0684622586669,0.0697498435996,0.923709757034,0.824303575345,0.821680827106,2413.23947865
610,0.0267043586787,0.068455470568,0.0698386271575,0.92420336752,0.824742268041,0.820759545501,2456.71051289
620,0.0266352155728,0.0684139546912,0.0698576307148,0.92425821313,0.824084228998,0.820964274747,2499.98924584
630,0.0266142120919,0.0683519891306,0.0697891072057,0.92420336752,0.82386488265,0.82219265022,2542.71133571
640,0.0265280127512,0.0684200213037,0.069850784032,0.924148521911,0.824084228998,0.821476097861,2586.24370658
650,0.0264801241488,0.0683380823425,0.0697933597265,0.924422749959,0.82386488265,0.821271368615,2629.80840917
660,0.0264322468506,0.0683375794688,0.0697894252918,0.924038830692,0.824303575345,0.820861910124,2673.68536095
670,0.0263885942176,0.0682846272526,0.0697624317969,0.924642132397,0.824742268041,0.820145357764,2716.97432821
680,0.0263257035714,0.0683980959223,0.0698685584433,0.924971206055,0.824961614389,0.82035008701,2760.07748816
690,0.0262953397682,0.0683895204239,0.0698510616104,0.924806669226,0.824961614389,0.820145357764,2803.29481039
700,0.0262418755105,0.068446176066,0.069909932043,0.925464816541,0.824084228998,0.819838263896,2847.320003
710,0.0262149267621,0.0683188232668,0.0698080753788,0.924806669226,0.822987497258,0.819940628519,2890.6317935
720,0.0261488203087,0.0683848445078,0.0699051287453,0.925355125322,0.823206843606,0.819326440782,2933.53175314
730,0.0261070624698,0.0683737619333,0.0699145494507,0.92568419898,0.824742268041,0.819940628519,2977.88854891
740,0.0260652987248,0.0683243742913,0.069851615181,0.925409970932,0.82386488265,0.819428805405,3022.42548323
750,0.02601365294,0.0683829439862,0.0699704565064,0.925739044589,0.823426189954,0.819428805405,3065.93157063
760,0.0259778342102,0.0684247418846,0.0700411281997,0.925958427028,0.823206843606,0.819224076159,3109.28853988
770,0.0259375125016,0.0684848169366,0.0701013766832,0.926122963857,0.822987497258,0.818814617668,3153.54673402
780,0.0258991086089,0.068504422271,0.0701189561974,0.926342346295,0.82276815091,0.818916982291,3197.88024815
790,0.0259012702819,0.0684050432132,0.0700241525106,0.926287500686,0.82386488265,0.819940628519,3240.80933197
800,0.0258211482223,0.0685589689866,0.0702373214872,0.926506883124,0.823206843606,0.819019346914,3284.35240007
810,0.0257743554452,0.0686279729712,0.0703331495278,0.926287500686,0.823426189954,0.8185075238,3328.05213624
820,0.025717581788,0.0687872813062,0.0704955826692,0.926561728734,0.821890765519,0.818200429931,3371.07153177
830,0.0256756694063,0.0687058182585,0.0704472106766,0.926671419953,0.822548804562,0.818200429931,3415.12838025
840,0.0256619771647,0.06860877606,0.0703476245941,0.926561728734,0.822987497258,0.819735899273,3458.63400113
850,0.0256267175795,0.0685954132376,0.0703419649858,0.926616574343,0.82386488265,0.81963353465,3502.88587987
860,0.0255660268897,0.0686613715146,0.0704309749011,0.926726265562,0.824084228998,0.818712253045,3547.06739118
870,0.0255410103007,0.0686544063893,0.0704486205383,0.926835956782,0.824084228998,0.818302794554,3590.49225249
880,0.0255111022309,0.0686126692959,0.0704345402447,0.92711018483,0.82386488265,0.818098065309,3633.8678568
890,0.0254741245258,0.0686422564445,0.0704708179591,0.92705533922,0.823645536302,0.818302794554,3677.82074901
900,0.0254732558922,0.0685158188673,0.0703119841632,0.92700049361,0.82386488265,0.819019346914,3722.04158779
910,0.0254087141283,0.0686687961858,0.070474498335,0.926945648001,0.823645536302,0.817483877572,3765.55020508
920,0.0253811696829,0.0686808848303,0.0704803497239,0.92711018483,0.823206843606,0.817586242195,3809.07761616
930,0.0253580584569,0.0686587479627,0.070434064099,0.926835956782,0.822987497258,0.818200429931,3851.73530312
940,0.0253156998395,0.0686960263317,0.0704863858904,0.92700049361,0.823426189954,0.818405159177,3894.80256632
950,0.0252863915697,0.0687784118965,0.070469476988,0.926835956782,0.823645536302,0.817893336063,3937.88237748
960,0.0252389553423,0.0688863402132,0.0705705425423,0.927494104097,0.82386488265,0.817688606817,3982.40562869
970,0.025210039529,0.0688749851767,0.0705236425437,0.927494104097,0.824084228998,0.818098065309,4025.55129414
980,0.0251950761486,0.0688546030537,0.0704964112472,0.927219876049,0.824522921693,0.817995700686,4068.37542389
990,0.0251647044213,0.068888142519,0.0705083203841,0.927219876049,0.824303575345,0.818098065309,4111.65553261
1000,0.0251473146753,0.0688320518886,0.0704214146483,0.927439258487,0.824522921693,0.818098065309,4154.55362164
1010,0.0251096623869,0.0688925293542,0.0704480354123,0.927823177755,0.825180960737,0.818712253045,4197.89332347
1020,0.0250839731366,0.0689206733983,0.0704528592316,0.927658640926,0.824522921693,0.818814617668,4241.85496459
1030,0.0250644558708,0.0689088127285,0.070392619102,0.927878023364,0.824084228998,0.819326440782,4285.87775319
1040,0.0250167636047,0.069058530702,0.0705228730979,0.927987714583,0.824522921693,0.819019346914,4329.32348129
1050,0.0250055264545,0.069006393189,0.0704368191623,0.927932868974,0.824084228998,0.81963353465,4372.19507663
1060,0.0249781266035,0.0690226183791,0.0704562831343,0.928097405803,0.824742268041,0.819224076159,4415.91843717
1070,0.0249534516026,0.0690416131813,0.0704539874848,0.928261942631,0.825180960737,0.819940628519,4459.0724338
1080,0.0249171924802,0.069070521862,0.070449798639,0.928700707508,0.824742268041,0.819735899273,4501.87318584
1090,0.0248968837297,0.0690959208406,0.0704590286983,0.928591016289,0.825180960737,0.81963353465,4544.64605877
1100,0.0248658072888,0.0691549646539,0.0704954967138,0.928810398728,0.824742268041,0.819121711536,4588.62240699
1110,0.024822400572,0.0693082203153,0.0706283107722,0.928865244337,0.82386488265,0.819428805405,4631.96247295
1120,0.0248264438126,0.06915752952,0.0704576007766,0.929194317995,0.824961614389,0.819224076159,4674.56974519
1130,0.0248037577542,0.0691785573867,0.0704852641943,0.929194317995,0.824303575345,0.81963353465,4717.37199528
1140,0.024798706619,0.0691478798696,0.0703782286098,0.928810398728,0.824742268041,0.819940628519,4761.78585005
1150,0.0247573203186,0.0692279877492,0.0704941212679,0.929358854824,0.825180960737,0.818916982291,4804.55714361
