iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.157146324961,0.158147777999,0.157636297735,0.641693632425,0.63939460408,0.639778892415,18.167839693
10,0.201681101447,0.200213806692,0.200552065316,0.541271321231,0.54090809388,0.544170334732,195.717779775
20,0.120518967449,0.120591331403,0.120535809572,0.758953545769,0.758719017328,0.758931313338,378.942104533
30,0.122733489093,0.121883996732,0.123443027205,0.708605276148,0.707172625576,0.707339543454,564.900507451
40,0.120462422751,0.120349099135,0.120295852752,0.758405089673,0.758719017328,0.758931313338,752.761988347
50,0.106567786325,0.10600842476,0.107083180666,0.766741622333,0.772099144549,0.767018118538,935.746029085
60,0.119221760098,0.119324948876,0.119523139718,0.75730817748,0.757841631937,0.75678165626,1115.84957455
70,0.119222769639,0.118628565301,0.11836897573,0.749300718477,0.752138626892,0.751765789743,1300.40833333
80,0.120252078404,0.120224444647,0.120211451681,0.759172928207,0.759157710024,0.759238407206,1473.30844895
90,0.112979428239,0.113210340205,0.112683300778,0.761640980639,0.75959640272,0.762514075136,1647.64211649
100,0.115901569733,0.116136486575,0.116452642678,0.757966324796,0.755867514806,0.755348551541,1827.93561602
110,0.103723260685,0.103369584619,0.104497756896,0.763121812099,0.7668348322,0.758828948715,2010.76030086
120,0.092105635406,0.0914775233919,0.0934427905175,0.784895519114,0.787453388901,0.781144436483,2183.1246512
130,0.103770092377,0.103987119002,0.101643007638,0.758021170405,0.757841631937,0.760057324189,2364.19184545
140,0.11360206001,0.113782494075,0.114147775951,0.758459935282,0.758060978285,0.75790766711,2542.79016748
150,0.111630526198,0.110628995048,0.111429443027,0.736960456315,0.737661767932,0.738560753404,2712.37645698
160,0.097776615997,0.099681507522,0.0982395313301,0.771293807931,0.764860715069,0.770600880336,2893.2377138
170,0.106103717105,0.106295526584,0.105066779845,0.746997202874,0.743364772977,0.750946872761,3075.43018238
180,0.0945915598635,0.0959259398683,0.0942090750882,0.768112762573,0.767273524896,0.771829255809,3242.69531183
190,0.100042177318,0.100585127672,0.0997342300784,0.770855043054,0.767712217592,0.773671819019,3418.1068093
200,0.0924087629133,0.095867548155,0.0943654067089,0.786321504964,0.777144110551,0.782372811956,3599.54337658
210,0.0919307356295,0.0951114460587,0.0936754566954,0.787199034717,0.78131169116,0.78544375064,3777.87499493
220,0.0910446370389,0.0929744184682,0.0927724780072,0.791641529096,0.782847115596,0.788514689323,3951.00480947
230,0.0927137448847,0.0944370819074,0.0931346675081,0.785169747162,0.784382540031,0.787081584604,4122.33799693
240,0.0932583823513,0.0964800875538,0.0942344420384,0.779081884495,0.772318490897,0.775207288361,4306.82544652
250,0.0926577416386,0.0950755244462,0.0941768202377,0.781001480831,0.776924764203,0.780120790255,4486.28393091
260,0.0928225370184,0.0964357782955,0.0938518075267,0.783524378873,0.775608686115,0.782475176579,4672.33239207
270,0.0931031628894,0.0951489163593,0.093847941352,0.782975922777,0.776486071507,0.783805916675,4856.93290123
280,0.0942282234298,0.0954591792256,0.094420894788,0.77842373718,0.776705417855,0.780530248746,5039.91480845
290,0.0903245150713,0.0937804069141,0.0913005900874,0.789941315198,0.781092344812,0.786774490736,5222.89037653
300,0.0919956441669,0.0951622013727,0.0923852465064,0.784292217408,0.780214959421,0.784317739789,5401.80171664
310,0.0909279875584,0.094156355382,0.0912824433754,0.785937585696,0.778898881334,0.785136656771,5575.33789182
320,0.0916083942236,0.0948271650854,0.0921796271402,0.78818625569,0.779995613073,0.785546115263,5746.71626607
330,0.0910872389799,0.0949092109026,0.092185494302,0.786266659354,0.777363456898,0.784420104412,5924.58089304
340,0.0914735124858,0.0953804873294,0.0921628483219,0.784840673504,0.777802149594,0.784010645921,6106.57497345
350,0.0926538375889,0.0961592823674,0.0934675586318,0.784401908627,0.776486071507,0.783396458184,6284.83015961
360,0.0913755362217,0.0947904709973,0.091885292192,0.787363571546,0.777802149594,0.787900501587,6466.11162419
370,0.0919653819105,0.0949631928302,0.0924149466092,0.78401798936,0.775389339767,0.783294093561,6647.12715367
380,0.0923850662878,0.0958508674486,0.0927978238923,0.785279438381,0.776924764203,0.783294093561,6832.84097661
390,0.0922317731186,0.0958574237016,0.0928904381676,0.784237371798,0.774292608028,0.784215375166,7012.96718278
