iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.155041312887,0.157758908124,0.154398101819,0.630176054407,0.629304672077,0.631692087215,0.843152727
10,0.155219734395,0.157895806089,0.154632248665,0.628420994899,0.627549901294,0.63005425325,8.899862664
20,0.157390228378,0.159960247087,0.156486568497,0.624801184665,0.622285588945,0.626164397584,17.000719815
30,0.156291856632,0.158948332848,0.155173847333,0.626501398563,0.624698398772,0.628518783908,25.331111045
40,0.155737397665,0.158418326973,0.154620513408,0.628750068557,0.627549901294,0.631384993346,33.50117911
50,0.154469504212,0.157055901015,0.153236756717,0.632205341962,0.629304672077,0.637936329205,41.645342288
60,0.154177458825,0.156835668957,0.152913343614,0.63253441562,0.629743364773,0.63885761081,49.794185465
70,0.154062358089,0.156707088772,0.152799888119,0.632918334887,0.629962711121,0.639164704678,58.230533385
80,0.153258210435,0.156051043979,0.152067026068,0.63533154171,0.632375520948,0.640290715529,66.710003313
90,0.15370757079,0.156528218042,0.152491074977,0.634454011956,0.63105944286,0.63998362166,74.855387166
100,0.149795670137,0.152890883251,0.148905663504,0.642900235836,0.635885062514,0.646125499028,83.014661328
110,0.148482986025,0.151566818873,0.147534322004,0.64657489168,0.639833296776,0.649912990071,91.144836613
120,0.147757195483,0.150855655444,0.146769467823,0.64931717216,0.642026760254,0.652574470263,99.519212121
130,0.145133862635,0.148745820343,0.144085057587,0.654253277025,0.647729765299,0.660456546218,107.66166401
140,0.143833940431,0.147197436975,0.14259714024,0.65633741019,0.652774731301,0.662606203296,115.749750025
150,0.143361122405,0.146877223616,0.142002433399,0.658366697746,0.652555384953,0.664244037261,123.99496642
160,0.140425261365,0.144158817861,0.139021043165,0.668184061866,0.660890546172,0.675913604258,132.215295608
170,0.139599868391,0.143461989677,0.138476382993,0.670871496737,0.661548585216,0.678472719828,140.421754363
180,0.138882001132,0.142970051354,0.137789620275,0.672352328196,0.662864663303,0.679701095301,148.483390661
190,0.138503068835,0.142559293731,0.137492899284,0.673449240388,0.663522702347,0.68000818917,156.737699007
200,0.138528627663,0.142575865046,0.137505101787,0.674217078923,0.663961395043,0.680520012284,164.93334669
210,0.136376976996,0.140361753779,0.135605236419,0.679372566226,0.667690282957,0.684512232572,173.151739004
220,0.1360504285,0.140086229668,0.135276413286,0.680798552076,0.668348322,0.684819326441,181.270458095
230,0.135926094895,0.139975636587,0.135166990869,0.681511545001,0.668128975653,0.684819326441,189.688043555
